panel,serie,delta,re,im
A_abierto,vertice1,0.7000000000000001,0.02173913043478273,0.1831771689820949
A_abierto,vertice1,0.7000000000000001,0.02173913043478273,-0.1831771689820949
A_abierto,vertice2,0.7000000000000001,-0.8043478260869567,0.5829168555561707
A_abierto,vertice2,0.7000000000000001,-0.8043478260869567,-0.5829168555561707
A_abierto,vertice1,0.8,0.09090909090909095,0.09090909090909093
A_abierto,vertice1,0.8,0.09090909090909095,-0.09090909090909093
A_abierto,vertice2,0.8,-0.8636363636363638,0.6281943164129661
A_abierto,vertice2,0.8,-0.8636363636363638,-0.6281943164129661
A_abierto,vertice1,0.9,0.31912200565316307,0.0
A_abierto,vertice1,0.9,0.014211327680170131,0.0
A_abierto,vertice2,0.9,-0.9285714285714285,0.6696362433535825
A_abierto,vertice2,0.9,-0.9285714285714285,-0.6696362433535825
A_abierto,vertice1,1.0,0.5,0.0
A_abierto,vertice1,1.0,0.0,0.0
A_abierto,vertice2,1.0,-1.0,0.7071067811865476
A_abierto,vertice2,1.0,-1.0,-0.7071067811865476
A_abierto,vertice1,1.1,0.583831307737489,0.0
A_abierto,vertice1,1.1,0.0070777831716019755,0.0
A_abierto,vertice2,1.1,-0.9318181818181818,0.6391982322920561
A_abierto,vertice2,1.1,-0.9318181818181818,-0.6391982322920561
A_abierto,vertice1,1.2000000000000002,0.6451381155644953,0.0
A_abierto,vertice1,1.2000000000000002,0.02152855110217162,0.0
A_abierto,vertice2,1.2000000000000002,-0.875,0.5758447900452188
A_abierto,vertice2,1.2000000000000002,-0.875,-0.5758447900452188
A_abierto,vertice1,1.3,0.6923076923076923,0.0
A_abierto,vertice1,1.3,0.03846153846153842,0.0
A_abierto,vertice2,1.3,-0.8269230769230771,0.5156572183766125
A_abierto,vertice2,1.3,-0.8269230769230771,-0.5156572183766125
A_abierto,vertice1,1.4000000000000001,0.7297850404305931,0.0
A_abierto,vertice1,1.4000000000000001,0.055929245283692704,0.0
A_abierto,vertice2,1.4000000000000001,-0.7857142857142858,0.45736601695948914
A_abierto,vertice2,1.4000000000000001,-0.7857142857142858,-0.45736601695948914
A_abierto,vertice1,1.5,0.7602588021348052,0.0
A_abierto,vertice1,1.5,0.07307453119852825,0.0
A_abierto,vertice2,1.5,-0.7499999999999999,0.3996526269427266
A_abierto,vertice2,1.5,-0.7499999999999999,-0.3996526269427266
A_abierto,vertice1,1.6,0.7854852726768764,0.0
A_abierto,vertice1,1.6,0.08951472732312366,0.0
A_abierto,vertice2,1.6,-0.71875,0.34089725358236606
A_abierto,vertice2,1.6,-0.71875,-0.34089725358236606
A_abierto,vertice1,1.7000000000000002,0.8066723659375461,0.0
A_abierto,vertice1,1.7000000000000002,0.10509233994480695,0.0
A_abierto,vertice2,1.7000000000000002,-0.6911764705882353,0.278636695904359
A_abierto,vertice2,1.7000000000000002,-0.6911764705882353,-0.278636695904359
A_abierto,vertice1,1.8,0.8246827094569311,0.0
A_abierto,vertice1,1.8,0.11976173498751336,0.0
A_abierto,vertice2,1.8,-0.6666666666666667,0.20786985482077455
A_abierto,vertice2,1.8,-0.6666666666666667,-0.20786985482077455
A_abierto,vertice1,1.9000000000000001,0.8401505679499354,0.0
A_abierto,vertice1,1.9000000000000001,0.13353364257638026,0.0
A_abierto,vertice2,1.9000000000000001,-0.6447368421052633,0.11087039175232036
A_abierto,vertice2,1.9000000000000001,-0.6447368421052633,-0.11087039175232036
A_abierto,vertice1,2.0,0.8535533905932737,0.0
A_abierto,vertice1,2.0,0.14644660940672624,0.0
A_abierto,vertice2,2.0,-0.75,0.0
A_abierto,vertice2,2.0,-0.5,0.0
B_cerrado_control,vertice1,0.0,-0.25460839407560343,0.0
B_cerrado_control,vertice1,0.0,-206.71517942435952,0.0
B_cerrado_control,vertice2,0.0,-0.25419798886312606,0.0
B_cerrado_control,vertice2,0.0,-207.04892316290534,0.0
B_cerrado_control,vertice1,0.1,-0.2689012744433512,0.0
B_cerrado_control,vertice1,0.1,-165.48976369538693,0.0
B_cerrado_control,vertice2,0.1,-0.40640974806919417,0.0
B_cerrado_control,vertice2,0.1,-165.8350138424507,0.0
B_cerrado_control,vertice1,0.2,-0.28859005674243576,0.0
B_cerrado_control,vertice1,0.2,-128.79668738026766,0.0
B_cerrado_control,vertice2,0.2,-0.574064665109546,0.0
B_cerrado_control,vertice2,0.2,-129.1540699147577,0.0
B_cerrado_control,vertice1,0.30000000000000004,-0.31208412287399767,0.0
B_cerrado_control,vertice1,0.30000000000000004,-99.1536843325394,0.0
B_cerrado_control,vertice2,0.30000000000000004,-0.7569292902069691,0.0
B_cerrado_control,vertice2,0.30000000000000004,-99.52365398002125,0.0
B_cerrado_control,vertice1,0.4,-0.3381698684412413,0.0
B_cerrado_control,vertice1,0.4,-76.07464793356729,0.0
B_cerrado_control,vertice2,0.4,-0.9555284936932651,0.0
B_cerrado_control,vertice2,0.4,-76.45728930831527,0.0
B_cerrado_control,vertice1,0.5,-0.3649337112411928,0.0
B_cerrado_control,vertice1,0.5,-58.152890793135036,0.0
B_cerrado_control,vertice2,0.5,-1.1702658738065352,0.0
B_cerrado_control,vertice2,0.5,-58.54755863056968,0.0
B_cerrado_control,vertice1,0.6000000000000001,-0.38919942534773355,0.0
B_cerrado_control,vertice1,0.6000000000000001,-43.98121002993608,0.0
B_cerrado_control,vertice2,0.6000000000000001,-1.4012631583281134,0.0
B_cerrado_control,vertice2,0.6000000000000001,-44.385812963622364,0.0
B_cerrado_control,vertice1,0.7000000000000001,-0.40716708675718394,0.0
B_cerrado_control,vertice1,0.7000000000000001,-32.38046198504131,0.0
B_cerrado_control,vertice2,0.7000000000000001,-1.6500683708140897,0.0
B_cerrado_control,vertice2,0.7000000000000001,-32.78973461402788,0.0
B_cerrado_control,vertice1,0.8,-0.41808509180699716,0.0
B_cerrado_control,vertice1,0.8,-22.387992020357977,0.0
B_cerrado_control,vertice2,0.8,-1.9273926735074731,0.0
B_cerrado_control,vertice2,0.8,-22.787775347748408,0.0
B_cerrado_control,vertice1,0.9,-0.4399517094291987,0.0
B_cerrado_control,vertice1,0.9,-13.201532867260912,0.0
B_cerrado_control,vertice2,0.9,-2.295326032943972,0.0
B_cerrado_control,vertice2,0.9,-13.53663473422233,0.0
B_cerrado_control,vertice1,1.0,-0.7241803550696195,0.0
B_cerrado_control,vertice1,1.0,-3.9892705945919786,0.0
B_cerrado_control,vertice2,1.0,-3.606725474830799,1.3443900640030602
B_cerrado_control,vertice2,1.0,-3.606725474830799,-1.3443900640030602
B_cerrado_control,vertice1,1.1,-0.010000000000152318,1.1949465518662656
B_cerrado_control,vertice1,1.1,-0.010000000000152318,-1.1949465518662656
B_cerrado_control,vertice2,1.1,-1.2372727272728798,1.5465118540476421
B_cerrado_control,vertice2,1.1,-1.2372727272728798,-1.5465118540476421
B_cerrado_control,vertice1,1.2000000000000002,-0.009999999993724418,1.1682510480960981
B_cerrado_control,vertice1,1.2000000000000002,-0.009999999993724418,-1.1682510480960981
B_cerrado_control,vertice2,1.2000000000000002,-1.2183333333270576,1.5288038026258475
B_cerrado_control,vertice2,1.2000000000000002,-1.2183333333270576,-1.5288038026258475
B_cerrado_control,vertice1,1.3,-0.010000000052218667,1.1455713195609727
B_cerrado_control,vertice1,1.3,-0.010000000052218667,-1.1455713195609727
B_cerrado_control,vertice2,1.3,-1.202307692359911,1.5137718605913366
B_cerrado_control,vertice2,1.3,-1.202307692359911,-1.5137718605913366
B_cerrado_control,vertice1,1.4000000000000001,-0.00999999589806699,1.1260062947893006
B_cerrado_control,vertice1,1.4000000000000001,-0.00999999589806699,-1.1260062947893006
B_cerrado_control,vertice2,1.4000000000000001,-1.1885714244694954,1.5008101097383268
B_cerrado_control,vertice2,1.4000000000000001,-1.1885714244694954,-1.5008101097383268
B_cerrado_control,vertice1,1.5,-0.00999993123095353,1.1089490359663619
B_cerrado_control,vertice1,1.5,-0.00999993123095353,-1.1089490359663619
B_cerrado_control,vertice2,1.5,-1.1766665978976198,1.489515605371268
B_cerrado_control,vertice2,1.5,-1.1766665978976198,-1.489515605371268
B_cerrado_control,vertice1,1.6,-0.010000554511811428,1.0939707496135045
B_cerrado_control,vertice1,1.6,-0.010000554511811428,-1.0939707496135045
B_cerrado_control,vertice2,1.6,-1.1662505545118114,1.4796059861492232
B_cerrado_control,vertice2,1.6,-1.1662505545118114,-1.4796059861492232
B_cerrado_control,vertice1,1.7000000000000002,-0.004921531485543522,1.1080232428648253
B_cerrado_control,vertice1,1.7000000000000002,-0.004921531485543522,-1.1080232428648253
B_cerrado_control,vertice2,1.7000000000000002,-1.1519803550149554,1.488114499244417
B_cerrado_control,vertice2,1.7000000000000002,-1.1519803550149554,-1.488114499244417
B_cerrado_control,vertice1,1.8,0.726377750381533,0.0
B_cerrado_control,vertice1,1.8,0.17669185481004043,0.0
B_cerrado_control,vertice2,1.8,-0.6873540862931022,0.35711057035386584
B_cerrado_control,vertice2,1.8,-0.6873540862931022,-0.35711057035386584
B_cerrado_control,vertice1,1.9000000000000001,0.7610686848519739,0.0
B_cerrado_control,vertice1,1.9000000000000001,0.15035680039779833,0.0
B_cerrado_control,vertice2,1.9000000000000001,-0.6758662047435349,0.31295950194900773
B_cerrado_control,vertice2,1.9000000000000001,-0.6758662047435349,-0.31295950194900773
B_cerrado_control,vertice1,2.0,0.7886841548195183,0.0
B_cerrado_control,vertice1,2.0,0.12997091878274786,0.0
B_cerrado_control,vertice2,2.0,-0.6656724631988669,0.268469791160027
B_cerrado_control,vertice2,2.0,-0.6656724631988669,-0.268469791160027
C_delta2,control_v1,2.0,0.7886841548195183,0.0
C_delta2,control_v1,2.0,0.12997091878274786,0.0
C_delta2,control_v2,2.0,-0.6656724631988669,0.268469791160027
C_delta2,control_v2,2.0,-0.6656724631988669,-0.268469791160027
C_delta2,control_margen_v1,2.0,-0.009999596641258499,1.2498100307075324
C_delta2,control_margen_v1,2.0,-0.009999596641258499,-1.2498100307075324
C_delta2,control_margen_v2,2.0,-1.1349995966412585,1.60121810100291
C_delta2,control_margen_v2,2.0,-1.1349995966412585,-1.60121810100291
C_delta2,aleatorio_v1,2.0,-0.2800840767539678,0.5904438848146764
C_delta2,aleatorio_v1,2.0,-0.2800840767539678,-0.5904438848146764
C_delta2,aleatorio_v2,2.0,-1.4050840767539676,1.3502392808071058
C_delta2,aleatorio_v2,2.0,-1.4050840767539676,-1.3502392808071058
