order,m,N,condA,normB,stab_500,stab_1000,stab_2000,stab_4000,stab_10000
3,1,3,20.471442397364545,0.03907603440347745,False,False,True,True,True
3,1,3,38.493283519171456,0.03977288663428196,False,True,False,True,True
3,1,3,155.40945344126266,0.18229746815990946,True,True,True,True,True
3,1,3,32.743291181088004,0.07500440688556585,True,True,True,True,True
3,1,3,125.78980317710754,0.0342968569143345,True,True,True,True,True
3,1,3,83.20412377731063,0.1297338273249984,True,True,True,True,True
3,1,3,64.98757473250022,0.10478324151545723,True,True,True,True,True
3,1,3,23.32239639974138,0.07915814152116198,True,True,True,True,True
3,1,3,674.8409522758835,0.07057149220517153,False,True,False,False,False
3,1,3,71.24440173607447,0.04954091008201159,False,False,True,True,True
3,1,3,74.57633255604881,0.1606837195924112,True,True,True,True,True
3,1,3,31.47118710431136,0.21342905199477033,False,False,True,True,True
3,1,3,24.148256132961695,0.04806924181252536,True,True,True,True,True
3,1,3,32.2420323762254,0.10729205716220822,True,True,True,True,True
3,1,3,24.52274822838886,0.11524245646556565,True,True,True,True,True
3,1,3,21.62696842569965,0.11991609565604283,True,True,True,True,True
3,1,3,46.58156683848084,0.11384512870141565,True,True,True,True,True
3,1,3,71.34024882045797,0.13368799887700622,True,True,True,True,True
3,1,3,44.97444003454714,0.11093205653016447,True,True,True,True,True
3,1,3,27.725475854030464,0.05287899548577015,True,True,True,True,True
3,1,3,43.468716461027775,0.05003451735392418,True,True,True,True,True
3,1,3,150.45648405883446,0.1423214637459226,True,True,True,True,True
3,1,3,21.693345862594512,0.040881439483147756,True,True,True,True,True
3,1,3,18.63480541964661,0.34858924801290914,True,True,True,True,True
3,1,3,11.022060074590396,0.045210039359565274,True,True,True,True,True
3,1,3,46.16806542376766,0.09170960110566814,True,True,True,True,True
3,1,3,203.06461634333112,0.10510548846352519,False,True,True,True,True
3,1,3,28.5991925186523,0.041536208588511106,False,False,False,False,False
3,1,3,7.194610998109095,0.12149262552394718,True,True,True,True,True
3,1,3,18.4873187471127,0.18979057108554073,True,True,True,True,True
3,1,3,57.25581752798476,0.2253759229354847,True,True,True,True,True
3,1,3,5649.537888462681,0.02348036335967874,False,False,False,False,False
3,1,3,21.854303007942093,0.13371392050463415,True,True,True,True,True
3,1,3,330.62536114625254,0.12153388246790031,True,True,True,True,True
3,1,3,10.449749468868712,0.08854801318802134,True,True,True,True,True
3,1,3,27.38150122387785,0.06680478180039329,False,False,False,False,False
3,1,3,771.2035515226976,0.07367438668619934,False,False,False,False,False
3,1,3,14.86914481430838,0.12893631447077913,False,True,False,True,True
3,1,3,6.348569704313253,0.07613241210603956,True,True,True,True,True
3,1,3,177.48618695314022,0.04546287527735778,False,True,True,True,True
3,1,3,192.49524801885846,0.1709593199218622,True,True,True,True,True
3,1,3,22.421388937572054,0.08981229834121231,True,True,True,True,True
3,1,3,12.664625860105202,0.07064680670588436,True,True,True,True,True
3,1,3,52.832839028299865,0.042331508599085896,False,False,False,False,False
3,1,3,76.00767689393876,0.12247741206487912,True,True,True,True,True
3,1,3,76.72746243104385,0.08022529341912706,False,False,False,False,False
